Vehicle_Make,Vehicle_Model,Vehicle_Year,Vehicle_Value,Severity,Damage_Type,Num_Vehicles_Involved,Road_Type,Time_Hour,Injuries,Repair_Cost,Medical_Cost,Total_Cost
Toyota,Corolla,2019,11751,1,Minor,4,Residential,16,0,2381,1155,6140
Nissan,Altima,2015,7192,4,Total Loss,4,Rural,3,5,6832,60625,180538
Toyota,Corolla,2019,10129,1,Minor,4,Urban,6,0,2259,1332,7896
Nissan,Altima,2020,13073,4,Total Loss,1,Urban,2,2,12419,118292,177737
Honda,Accord,2015,5943,3,Moderate,4,Residential,3,3,6515,14397,46798
Honda,Accord,2016,6246,4,Total Loss,3,Highway,14,5,5933,74788,168051
Toyota,Corolla,2015,4690,4,Total Loss,1,Urban,16,2,4455,119472,120920
Jeep,Wrangler,2019,16344,4,Severe,3,Highway,6,3,25787,127665,301786
Honda,Civic,2015,4866,3,Total Loss,1,Residential,18,1,4622,14516,19039
Tesla,Model Y,2024,49417,2,Minor,3,Residential,17,0,10395,12207,33683
Nissan,Altima,2017,9290,2,Moderate,4,Residential,19,8,7229,9525,27614
Toyota,Corolla,2016,6020,4,Total Loss,2,Rural,19,1,5719,46511,75478
Tesla,Model Y,2022,33176,3,Severe,2,Rural,0,3,50830,30800,128285
Hyundai,Elantra,2019,8007,2,Moderate,4,Residential,7,1,6801,6156,21040
Toyota,Camry,2022,15956,3,Severe,3,Residential,14,1,22658,23775,76855
Honda,Civic,2020,15824,4,Total Loss,4,Residential,11,8,15032,58558,125489
Honda,Civic,2018,9051,4,Severe,1,Residential,7,1,19344,48798,73375
Ford,F-150,2018,23403,1,Minor,3,Residential,20,0,4308,1332,9314
Honda,Accord,2016,8012,2,Severe,3,Urban,20,4,19086,9438,57497
Toyota,Corolla,2016,6368,4,Total Loss,2,Residential,8,3,6049,124765,142582
Tesla,Model Y,2022,43644,4,Total Loss,1,Rural,0,0,41461,130576,232544
Tesla,Model Y,2022,45043,4,Total Loss,3,Highway,22,1,42790,41767,239255
Mazda,CX-5,2021,15482,4,Total Loss,2,Highway,20,1,14707,143357,240243
BMW,3 Series,2016,12903,2,Moderate,4,Rural,12,6,10806,9905,42478
Hyundai,Elantra,2023,21249,4,Severe,4,Rural,17,0,24562,96856,222575
Subaru,Outback,2017,8464,4,Total Loss,1,Rural,23,1,8040,130819,182915
Honda,Civic,2016,5486,1,Moderate,1,Residential,17,0,6316,2121,8909
Ford,F-150,2020,33164,1,Minor,4,Urban,5,0,5479,3305,19222
Chevrolet,Silverado,2024,65784,4,Total Loss,1,Rural,13,1,62494,118402,169971
Mazda,CX-5,2018,10984,2,Minor,1,Rural,1,1,2433,5053,9594
Ford,F-150,2018,18234,2,Moderate,3,Urban,19,4,11564,10080,39862
Toyota,Corolla,2015,4755,3,Severe,2,Highway,17,1,17139,23885,78211
Tesla,Model Y,2024,59883,3,Severe,4,Urban,18,5,79673,41300,253654
Jeep,Wrangler,2022,29628,2,Severe,4,Urban,6,1,34554,9641,106945
Toyota,Camry,2015,5754,4,Total Loss,3,Rural,10,3,5466,57611,103716
Nissan,Altima,2016,6219,4,Total Loss,1,Residential,19,0,5908,105965,101769
Nissan,Altima,2022,22203,4,Total Loss,1,Highway,7,2,21092,95294,167711
BMW,3 Series,2016,11460,1,Moderate,4,Residential,10,0,10157,2241,21163
Chevrolet,Silverado,2021,20587,2,Moderate,4,Residential,6,8,12411,14020,50388
Toyota,Corolla,2015,4781,3,Moderate,3,Residential,14,4,6075,12875,31529
Toyota,Camry,2023,17030,3,Severe,3,Residential,15,2,23174,37857,96625
Nissan,Altima,2023,24528,2,Moderate,4,Rural,18,5,10886,13390,47897
Tesla,Model Y,2020,29102,4,Severe,4,Highway,2,8,46430,53451,352253
Ford,F-150,2023,41366,2,Severe,4,Rural,20,5,44783,12689,107572
BMW,3 Series,2019,21119,3,Moderate,2,Rural,16,4,14503,32146,67629
Chevrolet,Silverado,2020,24719,4,Total Loss,4,Residential,7,1,23483,69026,170705
Mercedes-Benz,C-Class,2024,58053,4,Total Loss,1,Highway,23,2,55150,100381,229318
Toyota,Corolla,2015,5834,2,Severe,4,Residential,12,7,17625,7990,45311
BMW,3 Series,2024,49246,3,Severe,3,Residential,17,1,59321,15430,124589
Mercedes-Benz,C-Class,2016,11375,3,Total Loss,2,Highway,12,3,10806,21278,66806
Hyundai,Elantra,2022,18235,3,Severe,4,Highway,14,3,23205,21629,106535
Hyundai,Elantra,2024,18194,3,Severe,1,Urban,23,2,23187,41549,93584
Tesla,Model Y,2022,37041,4,Total Loss,2,Urban,17,2,35188,88231,199160
Nissan,Altima,2020,15625,2,Minor,1,Residential,21,2,2750,12136,14188
Ford,F-150,2016,17708,3,Severe,2,Rural,19,1,27749,22036,73759
Hyundai,Elantra,2020,11326,1,Moderate,2,Rural,21,0,7548,1561,11102
Jeep,Wrangler,2016,11265,2,Moderate,1,Rural,21,0,8717,11030,21705
Tesla,Model Y,2021,37501,2,Severe,3,Residential,5,4,55501,12344,108793
Tesla,Model 3,2022,35820,3,Moderate,1,Rural,21,0,24342,18492,41721
Ford,F-150,2016,14068,1,Minor,1,Highway,23,0,3188,3124,10149
Mercedes-Benz,C-Class,2022,39621,3,Severe,3,Residential,8,5,53036,15432,111973
Chevrolet,Silverado,2018,13147,1,Minor,4,Urban,11,0,3077,2115,11753
Tesla,Model Y,2022,44721,4,Total Loss,3,Highway,10,2,42484,124758,402968
Jeep,Wrangler,2015,8423,2,Minor,1,Urban,12,0,2426,13083,16336
Nissan,Altima,2017,8598,1,Minor,3,Urban,19,0,2187,2878,9729
Jeep,Wrangler,2017,12609,1,Minor,3,Rural,1,0,2886,3483,13741
Toyota,Corolla,2015,5519,2,Moderate,4,Urban,18,5,6241,10256,33568
Mazda,CX-5,2016,7427,1,Moderate,2,Residential,19,0,6893,3265,12671
Toyota,Corolla,2023,18761,3,Severe,2,Residential,13,4,23442,33606,66382
Hyundai,Elantra,2018,6835,3,Severe,1,Residential,19,1,18075,33821,42579
Subaru,Outback,2024,29099,1,Minor,3,Rural,4,0,4118,2012,12829
Honda,Civic,2019,10037,4,Severe,3,Highway,0,0,19817,141477,431251
Chevrolet,Silverado,2023,57628,2,Moderate,1,Rural,3,0,25746,6798,37405
Nissan,Altima,2019,13281,2,Severe,4,Residential,5,2,21374,5180,55806
Hyundai,Elantra,2024,23026,1,Minor,2,Urban,20,0,3226,2872,8384
Chevrolet,Silverado,2018,16917,2,Moderate,2,Urban,7,3,11090,12086,31812
Honda,Accord,2016,7898,4,Severe,3,Rural,14,2,19027,114362,234071
Mercedes-Benz,C-Class,2019,21307,3,Severe,4,Residential,2,3,35454,31178,158285
Mazda,CX-5,2020,12819,3,Moderate,3,Rural,22,6,8268,28794,81122
Honda,Accord,2018,9053,3,Severe,1,Highway,13,2,19617,12932,45556
Honda,Accord,2024,25281,4,Total Loss,3,Residential,12,2,24016,95042,165903
Ford,F-150,2016,8930,3,Severe,2,Residential,18,2,21429,30538,55216
Toyota,Camry,2016,8197,4,Severe,1,Residential,10,0,18934,88127,113908
Hyundai,Elantra,2024,24840,1,Minor,4,Highway,22,0,3363,1237,14990
Subaru,Outback,2024,26176,4,Severe,3,Rural,0,4,29135,51732,179121
Toyota,Camry,2017,8436,2,Moderate,1,Urban,19,2,7024,12937,22780
BMW,3 Series,2015,9908,1,Minor,3,Residential,8,0,2986,2401,8575
Chevrolet,Silverado,2019,28729,3,Severe,4,Residential,2,0,35684,39789,154357
Nissan,Altima,2020,14327,3,Severe,2,Highway,2,0,21876,14958,72771
Mazda,CX-5,2021,17084,2,Minor,1,Residential,19,0,2952,5212,6842
Toyota,Corolla,2022,14577,3,Severe,3,Urban,12,1,21559,25677,79501
Toyota,Camry,2018,12367,1,Moderate,2,Rural,1,0,7968,2811,17165
Tesla,Model Y,2022,42990,3,Total Loss,1,Rural,21,2,40840,42292,77539
Subaru,Outback,2019,11397,3,Severe,4,Rural,2,4,21154,39317,165159
Ford,F-150,2018,11586,3,Severe,4,Residential,15,2,23341,44443,131156
Hyundai,Elantra,2018,8427,3,Severe,1,Urban,22,2,18792,23007,61405
Honda,Civic,2024,31809,1,Moderate,4,Rural,23,0,12634,1237,34483
Tesla,Model Y,2021,29099,4,Severe,1,Urban,5,1,46426,103227,222580
Tesla,Model 3,2022,34677,1,Minor,3,Rural,16,0,7741,2190,15671
Ford,F-150,2019,15324,1,Moderate,1,Residential,5,0,10516,3138,15754
Subaru,Outback,2022,18911,1,Minor,4,Urban,12,0,3201,1944,9562
Honda,Civic,2021,19382,4,Total Loss,3,Residential,14,2,18412,57311,106679
Toyota,Camry,2023,17101,1,Minor,3,Residential,1,0,2868,1648,6643
BMW,3 Series,2021,30288,2,Minor,1,Urban,15,1,6043,6778,12151
Honda,Civic,2018,11765,2,Minor,4,Urban,20,1,2441,10956,31417
Jeep,Wrangler,2022,26024,4,Total Loss,2,Rural,14,1,24722,126747,193099
Jeep,Wrangler,2017,13054,1,Minor,2,Residential,19,0,2935,1826,5581
Toyota,Corolla,2019,10752,4,Total Loss,4,Urban,13,3,10214,138635,292862
Chevrolet,Silverado,2017,14291,3,Severe,4,Highway,15,3,25289,35111,171196
Mazda,CX-5,2016,9002,1,Minor,4,Residential,21,0,2265,2835,9745
Chevrolet,Silverado,2023,35445,2,Minor,3,Urban,0,1,5753,13950,43795
Jeep,Wrangler,2022,29258,1,Minor,1,Rural,4,0,4718,2319,7826
Tesla,Model 3,2022,34026,2,Moderate,1,Residential,12,1,23374,8378,31043
Toyota,Corolla,2018,7320,4,Total Loss,2,Highway,13,4,6954,102001,192976
Honda,Accord,2021,14260,1,Minor,4,Highway,20,0,2712,2619,14402
Nissan,Altima,2019,11940,2,Minor,4,Highway,5,6,2455,11157,38453
Tesla,Model 3,2020,27395,4,Total Loss,2,Rural,0,1,26025,122108,208570
Hyundai,Elantra,2018,8201,2,Moderate,1,Rural,2,0,6845,6074,14613
Chevrolet,Silverado,2019,25727,3,Severe,4,Residential,14,1,33523,37248,119308
Subaru,Outback,2018,11256,4,Total Loss,1,Residential,21,1,10693,101971,101952
Tesla,Model 3,2020,26475,3,Total Loss,4,Rural,0,5,25151,18306,115785
Toyota,Camry,2015,5899,2,Moderate,3,Urban,10,0,6415,12830,35868
Nissan,Altima,2015,5129,4,Total Loss,1,Urban,22,0,4872,72667,122929
Honda,Civic,2018,11726,3,Total Loss,4,Urban,1,2,11139,16691,83299
BMW,3 Series,2023,36550,1,Minor,4,Residential,4,0,6982,1331,15228
Honda,Accord,2023,28302,3,Moderate,4,Urban,14,5,12217,21678,73404
Ford,F-150,2021,37903,3,Severe,3,Residential,21,2,42290,42437,140848
BMW,3 Series,2022,39652,1,Minor,3,Residential,21,0,7447,1840,12617
Chevrolet,Silverado,2024,39541,1,Minor,4,Residential,17,0,6244,2899,16898
Honda,Accord,2016,8873,2,Minor,4,Rural,22,7,2254,11695,32481
Mazda,CX-5,2021,18439,3,Moderate,3,Urban,8,5,9701,29176,83251
BMW,3 Series,2023,32590,2,Moderate,1,Rural,23,0,19665,10622,39339
Honda,Accord,2016,9678,4,Total Loss,2,Highway,9,4,9194,125273,221864
Mazda,CX-5,2020,18224,1,Moderate,2,Rural,8,0,9647,2508,18297
Honda,Civic,2022,17050,2,Moderate,4,Residential,23,6,9092,9768,39528
Tesla,Model Y,2021,31898,4,Total Loss,4,Rural,1,1,30303,46367,177939
Ford,F-150,2015,12085,2,Minor,4,Highway,7,6,2950,11710,35430
Chevrolet,Silverado,2021,34325,1,Minor,4,Highway,5,0,5619,1477,23165
Nissan,Altima,2023,21999,4,Severe,1,Rural,2,0,25559,70025,110313
Honda,Accord,2019,12987,3,Severe,2,Residential,15,4,21623,15044,47932
Hyundai,Elantra,2019,12357,1,Minor,4,Highway,14,0,2426,1515,9120
Nissan,Altima,2021,14310,3,Severe,3,Rural,2,6,21868,36545,122454
Tesla,Model 3,2024,44498,3,Moderate,4,Urban,21,5,29028,16653,91405
Hyundai,Elantra,2023,16082,3,Severe,4,Highway,18,2,22236,35385,129563
Honda,Civic,2023,19413,4,Total Loss,4,Urban,3,3,18442,81143,266168
BMW,3 Series,2021,28208,2,Minor,4,Urban,16,5,5731,5180,23407
Honda,Accord,2020,17481,3,Total Loss,1,Highway,19,0,16606,14775,41484
BMW,3 Series,2019,24332,4,Total Loss,1,Urban,18,0,23115,124633,185840
Hyundai,Elantra,2022,14694,4,Total Loss,2,Residential,21,1,13959,103278,138682
Tesla,Model 3,2022,32096,3,Total Loss,2,Highway,17,0,30491,26007,87442
Nissan,Altima,2023,21889,3,Total Loss,4,Residential,2,4,20794,17031,81110
Toyota,Corolla,2018,8265,4,Severe,3,Urban,17,1,18719,43729,124749
Subaru,Outback,2017,9385,4,Total Loss,3,Rural,16,4,8915,136390,272404
Toyota,Camry,2024,24294,4,Total Loss,4,Highway,10,8,23079,51564,166432
Toyota,Camry,2023,18543,2,Moderate,3,Highway,11,3,9450,8964,44033
Ford,F-150,2015,13761,3,Severe,1,Highway,8,2,24907,43582,83568
Honda,Civic,2023,18004,1,Minor,2,Urban,12,0,2940,3253,8737
Tesla,Model 3,2019,23607,2,Moderate,2,Rural,15,0,17747,6029,31480
Honda,Accord,2018,13416,1,Minor,4,Urban,6,0,2640,1449,7387
Toyota,Corolla,2022,19307,2,Severe,4,Urban,21,7,23688,4546,53750
Toyota,Corolla,2018,8497,3,Severe,2,Residential,12,1,18823,30413,68566
Toyota,Corolla,2021,15303,2,Moderate,2,Urban,7,2,8443,9763,28653
Chevrolet,Silverado,2021,29770,1,Minor,4,Urban,14,0,5072,3106,17347
Mercedes-Benz,C-Class,2019,19186,3,Severe,4,Highway,0,6,33418,34591,195366
Toyota,Corolla,2020,12016,3,Severe,4,Residential,6,0,20407,40747,115730
Honda,Civic,2016,5710,4,Severe,2,Urban,20,2,17740,91326,164410
Honda,Accord,2018,10267,3,Moderate,4,Rural,12,2,7618,28061,67026
Nissan,Altima,2020,14522,2,Minor,2,Highway,4,1,2661,10737,24615
Chevrolet,Silverado,2016,14708,3,Moderate,3,Urban,4,1,10294,25067,79586
Toyota,Corolla,2022,15759,2,Minor,2,Rural,19,4,2681,13677,20065
Jeep,Wrangler,2017,14201,4,Total Loss,2,Residential,10,4,13490,130368,185137
Mercedes-Benz,C-Class,2018,15372,1,Minor,3,Urban,22,0,3959,3203,17074
Mazda,CX-5,2018,9213,3,Total Loss,2,Highway,3,1,8752,20195,57962
Jeep,Wrangler,2021,23053,4,Total Loss,3,Residential,15,5,21900,53729,111810
Honda,Accord,2021,21280,3,Total Loss,3,Highway,14,0,20216,14200,88932
Ford,F-150,2018,14670,1,Moderate,2,Residential,20,0,10281,3170,14152
Tesla,Model Y,2021,37475,3,Moderate,1,Residential,13,1,25236,43909,57476
Nissan,Altima,2016,6390,3,Total Loss,2,Urban,5,3,6070,32174,61398
Nissan,Altima,2020,16253,3,Moderate,2,Residential,19,3,8900,34202,47896
Tesla,Model 3,2021,30005,1,Minor,4,Highway,23,0,6900,2500,25461
Honda,Accord,2021,17404,4,Total Loss,1,Rural,9,1,16533,142755,165206
Toyota,Corolla,2015,5351,3,Severe,3,Rural,15,2,17407,38519,89329
Toyota,Camry,2016,6784,3,Total Loss,1,Highway,9,0,6444,25336,48306
Toyota,Corolla,2017,8623,1,Minor,4,Urban,10,0,2146,1490,7056
Jeep,Wrangler,2017,12044,3,Severe,3,Highway,22,2,22949,27264,143875
Tesla,Model Y,2021,30813,3,Total Loss,1,Rural,8,0,29272,23888,63978
Honda,Civic,2019,12898,4,Total Loss,3,Highway,13,1,12253,96530,204072
Chevrolet,Silverado,2018,24148,1,Minor,1,Residential,7,0,4397,1740,6030
BMW,3 Series,2023,37619,4,Total Loss,4,Rural,5,4,35738,110029,308617
BMW,3 Series,2015,10998,1,Moderate,1,Rural,9,0,9949,3031,13214
Honda,Accord,2022,25862,4,Severe,2,Rural,13,0,28189,106938,195491
Tesla,Model Y,2022,40763,3,Severe,2,Highway,3,0,59024,42067,184381
Toyota,Corolla,2019,12044,3,Moderate,1,Urban,5,2,7709,42568,81142
Tesla,Model Y,2024,45432,3,Severe,4,Highway,16,4,64066,23017,229198
Subaru,Outback,2024,35545,3,Total Loss,1,Urban,8,1,33767,12506,48810
Nissan,Altima,2015,4914,2,Moderate,4,Residential,6,2,6179,9265,23542
Hyundai,Elantra,2020,12706,2,Moderate,4,Residential,9,7,7858,12584,40078
Honda,Accord,2023,26776,4,Total Loss,2,Rural,15,0,25437,131969,205349
Toyota,Camry,2020,11003,4,Severe,1,Rural,12,2,20281,103285,137248
Honda,Civic,2019,12544,3,Total Loss,4,Residential,4,3,11916,40114,127566
Hyundai,Elantra,2017,6115,3,Severe,1,Urban,5,2,17751,26084,70443
Tesla,Model 3,2024,47318,1,Minor,4,Rural,7,0,10017,3416,28993
Toyota,Corolla,2016,4917,2,Severe,4,Urban,12,3,17212,13927,69966
Subaru,Outback,2017,11673,4,Severe,3,Urban,2,4,21303,85112,256241
Mazda,CX-5,2020,16531,4,Total Loss,1,Rural,17,0,15704,134466,169939
Tesla,Model Y,2020,23923,2,Minor,2,Rural,6,1,5806,9934,17444
Tesla,Model 3,2020,24733,1,Minor,4,Rural,8,0,5951,1923,16250
Toyota,Camry,2020,17614,2,Severe,1,Urban,3,2,23454,12438,51331
BMW,3 Series,2017,15656,3,Total Loss,3,Rural,20,1,14873,42454,104712
Tesla,Model Y,2020,29152,4,Total Loss,1,Highway,12,0,27694,98848,178565
BMW,3 Series,2017,16817,4,Total Loss,4,Highway,18,0,15976,71265,205882
Tesla,Model 3,2023,40345,3,Moderate,2,Highway,3,2,26786,36851,150868
Jeep,Wrangler,2024,36919,1,Minor,3,Residential,8,0,5561,1941,11949
BMW,3 Series,2016,11348,1,Minor,1,Urban,14,0,3202,1088,4488
Tesla,Model 3,2022,30639,3,Total Loss,1,Residential,22,2,29107,16265,54020
Nissan,Altima,2015,6920,4,Total Loss,4,Residential,22,2,6574,52012,134055
Toyota,Corolla,2023,18263,4,Severe,2,Rural,1,4,23218,80328,165808
Honda,Civic,2020,15982,2,Minor,4,Residential,9,8,2778,5868,14960
Nissan,Altima,2018,9570,3,Total Loss,1,Highway,8,2,9091,20213,36057
Mercedes-Benz,C-Class,2019,19489,3,Severe,2,Urban,19,2,33709,37752,121674
Jeep,Wrangler,2022,25978,4,Severe,4,Rural,16,4,32145,105112,282043
Toyota,Camry,2015,4702,4,Total Loss,4,Residential,3,1,4466,132130,308222
BMW,3 Series,2022,35636,2,Moderate,4,Highway,13,4,21036,6662,66929
Tesla,Model 3,2018,17777,3,Total Loss,1,Highway,17,0,16888,21526,46683
Honda,Accord,2015,7673,1,Minor,2,Urban,0,0,2152,1299,6317
Ford,F-150,2017,17256,3,Severe,1,Highway,3,0,27424,24176,90639
Tesla,Model Y,2022,37426,3,Moderate,3,Rural,12,0,25210,36293,93805
Nissan,Altima,2021,13653,2,Moderate,3,Rural,3,2,8276,12624,41994
Nissan,Altima,2016,8686,2,Moderate,2,Urban,14,3,7084,10824,27794
Toyota,Corolla,2022,16155,1,Minor,4,Rural,18,0,2711,2337,10774
Nissan,Altima,2024,30840,3,Total Loss,1,Residential,17,2,29298,35170,67072
Mazda,CX-5,2022,22524,2,Moderate,2,Highway,3,0,10743,4654,27004
Chevrolet,Silverado,2021,22431,2,Moderate,4,Highway,19,8,13075,11891,56747
Tesla,Model 3,2021,25589,3,Total Loss,2,Rural,3,3,24309,16163,71674
Chevrolet,Silverado,2020,34212,4,Total Loss,4,Rural,19,4,32501,58273,182812
BMW,3 Series,2020,18549,4,Total Loss,2,Urban,9,4,17621,140703,259588
Nissan,Altima,2021,16826,4,Total Loss,1,Urban,14,2,15984,57247,84336
Mercedes-Benz,C-Class,2021,24574,4,Severe,4,Rural,2,0,38591,119560,395636
Jeep,Wrangler,2015,7843,3,Severe,2,Residential,16,3,20176,38161,78604
Chevrolet,Silverado,2016,16712,1,Minor,2,Urban,19,0,3505,1470,7331
Honda,Accord,2015,5287,3,Severe,2,Rural,5,0,17696,33181,77918
Nissan,Altima,2023,17187,1,Minor,1,Residential,6,0,2874,1247,3459
Chevrolet,Silverado,2018,17776,2,Severe,2,Urban,7,1,27798,4246,45040
Toyota,Corolla,2016,6016,1,Minor,1,Highway,11,0,1951,2733,5928
Tesla,Model Y,2024,60189,2,Moderate,1,Rural,23,2,37502,9418,52549
Toyota,Camry,2021,14331,2,Moderate,2,Urban,17,2,8439,10818,27716
Tesla,Model Y,2022,46326,1,Minor,1,Highway,12,0,9838,2259,15843
Tesla,Model Y,2024,58032,1,Minor,4,Residential,4,0,11945,2223,27002
BMW,3 Series,2019,23143,1,Minor,3,Highway,23,0,4971,1064,15469
Jeep,Wrangler,2016,11787,2,Severe,2,Urban,14,2,22779,14359,45925
Honda,Civic,2019,8811,2,Severe,1,Residential,15,1,19229,14047,26321
Tesla,Model Y,2023,47977,1,Minor,4,Residential,10,0,10135,3177,21937
Chevrolet,Silverado,2021,37929,2,Moderate,1,Residential,22,1,18654,11017,33840
Chevrolet,Silverado,2017,14182,2,Moderate,2,Urban,20,3,10105,14033,30582
BMW,3 Series,2016,10716,3,Total Loss,3,Rural,9,0,10180,44578,106240
Toyota,Camry,2019,11160,2,Moderate,2,Residential,9,0,7678,6370,15093
Chevrolet,Silverado,2017,15917,1,Minor,2,Highway,1,0,3410,3008,12955
Jeep,Wrangler,2019,13591,4,Total Loss,4,Highway,9,8,12911,71953,240399
Honda,Civic,2023,20825,1,Minor,3,Highway,3,0,3166,3467,17126
Ford,F-150,2023,26543,1,Moderate,1,Rural,16,0,14555,3282,17118
Chevrolet,Silverado,2017,21087,3,Severe,3,Residential,18,0,30182,38099,106989
Tesla,Model 3,2024,51853,3,Severe,4,Highway,14,6,71001,42377,329029
Jeep,Wrangler,2019,13804,4,Severe,3,Urban,18,4,24110,65916,157447
Tesla,Model Y,2021,36684,4,Severe,2,Residential,23,1,54618,51492,141655
Honda,Civic,2024,26845,3,Severe,4,Residential,22,2,27885,20071,110982
Ford,F-150,2016,10391,4,Total Loss,3,Residential,18,6,9871,87133,158927
Toyota,Camry,2016,6630,3,Severe,2,Urban,4,0,18182,15419,59069
Mercedes-Benz,C-Class,2023,46507,4,Total Loss,1,Residential,0,0,44181,77634,143189
Tesla,Model Y,2023,41266,2,Minor,3,Rural,10,3,8927,11914,30599
Tesla,Model Y,2021,29592,4,Total Loss,3,Rural,15,2,28112,64999,172881
Honda,Civic,2019,11368,2,Moderate,3,Rural,13,1,7728,6075,20355
Hyundai,Elantra,2020,12661,1,Minor,3,Rural,16,0,2449,2145,7881
Mazda,CX-5,2022,17555,3,Total Loss,3,Residential,20,4,16677,30973,63347
Ford,F-150,2017,13591,2,Severe,4,Rural,14,6,24785,14344,70911
Toyota,Corolla,2016,5167,1,Moderate,4,Residential,9,0,6162,1555,12572
Honda,Civic,2023,16236,2,Minor,3,Rural,23,2,2798,6580,20692
Toyota,Camry,2016,8397,2,Minor,3,Urban,6,1,2171,12254,28384
Tesla,Model Y,2020,26064,4,Total Loss,3,Rural,5,6,24760,91181,229938
Honda,Civic,2018,11893,4,Total Loss,4,Highway,9,4,11298,83563,255101
Toyota,Corolla,2020,9569,4,Total Loss,1,Highway,4,1,9090,101975,181171
Nissan,Altima,2023,22477,1,Minor,1,Urban,18,0,3298,3326,6424
Nissan,Altima,2016,8626,3,Severe,3,Rural,19,1,19140,28065,79959
Mercedes-Benz,C-Class,2022,40423,3,Severe,1,Highway,19,0,53806,23378,91668
Mercedes-Benz,C-Class,2024,56342,1,Minor,1,Rural,20,0,10514,2887,13807
Toyota,Corolla,2015,4498,4,Severe,2,Highway,9,1,17024,51265,116412
Toyota,Camry,2023,27132,2,Moderate,2,Urban,14,1,11511,8954,33427
Mazda,CX-5,2015,7544,2,Minor,2,Rural,11,1,2141,5086,9243
Tesla,Model Y,2021,30714,3,Severe,2,Rural,20,4,48171,39292,113922
Honda,Civic,2017,9993,3,Moderate,2,Residential,3,4,7398,43930,75382
Mazda,CX-5,2018,11302,4,Severe,3,Rural,11,2,20764,77697,148189
Honda,Accord,2015,7392,3,Moderate,2,Rural,10,2,6884,40951,68750
Jeep,Wrangler,2020,19209,3,Moderate,3,Residential,6,2,11338,26243,64930
Nissan,Altima,2019,12610,1,Minor,3,Rural,8,0,2508,1861,7147
Tesla,Model 3,2021,31569,2,Moderate,3,Urban,4,0,22047,13810,70965
Mercedes-Benz,C-Class,2018,21830,2,Minor,2,Urban,15,1,4992,10480,20396
Chevrolet,Silverado,2017,17481,3,Moderate,1,Rural,5,0,11293,32299,48307
Tesla,Model Y,2022,35923,1,Minor,2,Highway,15,0,7966,1311,17536
Hyundai,Elantra,2024,21100,2,Moderate,4,Highway,5,5,9747,11811,71180
Toyota,Camry,2017,9382,1,Minor,4,Residential,2,0,2250,3008,9469
Mercedes-Benz,C-Class,2024,50388,4,Total Loss,2,Residential,7,4,47868,68714,148825
Honda,Civic,2018,9324,4,Total Loss,1,Rural,12,2,8857,85688,95635
Subaru,Outback,2017,11488,3,Severe,4,Urban,6,4,21203,22476,85993
Mercedes-Benz,C-Class,2024,41466,2,Moderate,3,Rural,4,5,24903,8288,61052
Tesla,Model Y,2020,32670,1,Minor,2,Rural,10,0,7380,2105,13775
Mercedes-Benz,C-Class,2021,36658,2,Minor,1,Rural,1,1,7365,13873,28592
Honda,Civic,2022,14754,1,Minor,4,Urban,7,0,2680,1548,8728
Ford,F-150,2021,39570,3,Severe,3,Residential,22,1,43490,25411,120497
Chevrolet,Silverado,2023,56600,1,Minor,2,Rural,3,0,8292,1550,16268
Subaru,Outback,2018,10302,3,Moderate,1,Urban,5,2,7781,35729,61125
BMW,3 Series,2017,15329,4,Total Loss,4,Residential,23,0,14562,126828,264905
Nissan,Altima,2016,8542,1,Moderate,3,Residential,19,0,7050,1938,13479
Subaru,Outback,2023,31173,1,Moderate,2,Urban,7,0,13416,1388,22021
BMW,3 Series,2020,27950,1,Moderate,4,Urban,13,0,17577,3106,47333
Subaru,Outback,2017,11055,4,Total Loss,4,Rural,20,0,10502,132669,299219
Jeep,Wrangler,2015,6783,4,Total Loss,3,Highway,22,6,6443,108449,335487
Hyundai,Elantra,2023,15316,2,Moderate,3,Residential,1,4,8446,11490,34320
Tesla,Model 3,2023,37090,4,Total Loss,3,Residential,18,5,35235,125830,203218
Tesla,Model 3,2023,35785,1,Minor,3,Urban,19,0,7941,2540,21104
Honda,Civic,2023,26279,1,Minor,2,Urban,8,0,3602,2734,9507
Toyota,Corolla,2016,6061,2,Minor,2,Urban,8,2,1954,10323,17225
Ford,F-150,2016,11869,3,Severe,4,Rural,12,8,23545,17081,86981
Ford,F-150,2018,16504,1,Minor,4,Rural,20,0,3480,3266,12955
Tesla,Model 3,2021,32575,1,Minor,3,Urban,7,0,7363,1042,13870
Mazda,CX-5,2021,21071,3,Severe,1,Residential,19,0,25746,43985,63572
Ford,F-150,2023,50774,3,Severe,2,Rural,20,0,51557,32792,112908
BMW,3 Series,2017,11987,4,Total Loss,1,Highway,13,2,11387,87452,130303
Toyota,Camry,2019,13365,4,Total Loss,1,Highway,3,1,12696,63303,123911
Hyundai,Elantra,2021,14992,4,Total Loss,4,Highway,5,5,14242,143983,448242
Honda,Civic,2020,15682,1,Minor,3,Urban,8,0,2754,2638,10760
Nissan,Altima,2019,13750,4,Total Loss,2,Rural,18,3,13062,55890,102470
Subaru,Outback,2024,37057,2,Severe,4,Rural,16,1,35010,7257,88462
Jeep,Wrangler,2018,13915,3,Severe,2,Residential,7,0,24183,27935,58783
Toyota,Corolla,2023,18256,2,Moderate,1,Rural,1,2,9107,11223,25027
Ford,F-150,2020,22450,2,Severe,2,Rural,12,3,31164,5602,52402
